"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "JSON with Comments", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\Users\hp\Documents\pro\in-patients\src\pages\nurse\NurseDashboard.jsx", "JavaScript JSX", 0, 82, 0, 0, 0, 0, 0, 0, 0, 7, 89
"c:\Users\hp\Documents\pro\in-patients\src\pages\nurse\NursePatientsList.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\hp\Documents\pro\in-patients\src\pages\nurse\PatientServiceEntry.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 10, 79
"c:\Users\hp\Documents\pro\in-patients\src\pages\reception\AddPatient.jsx", "JavaScript JSX", 0, 273, 0, 0, 0, 0, 0, 0, 0, 18, 291
"c:\Users\hp\Documents\pro\in-patients\src\pages\reception\PatientBilling.jsx", "JavaScript JSX", 0, 595, 0, 0, 0, 0, 0, 0, 0, 42, 637
"c:\Users\hp\Documents\pro\in-patients\src\pages\reception\PatientsList.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 0, 4, 63
"c:\Users\hp\Documents\pro\in-patients\src\pages\reception\PendingApprovals.jsx", "JavaScript JSX", 0, 198, 0, 0, 0, 0, 0, 0, 0, 13, 211
"c:\Users\hp\Documents\pro\in-patients\src\pages\reception\ReceptionDashboard.jsx", "JavaScript JSX", 0, 84, 0, 0, 0, 0, 0, 0, 0, 8, 92
"c:\Users\hp\Documents\pro\in-patients\tailwind.config.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 1, 2, 64
"c:\Users\hp\Documents\pro\in-patients\vite.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 3263, 5874, 101, 5486, 8, 818, 33, 8, 311, 1226, 17128
